word,sentiment,lexicon
abandon,-1,nrc
abandoned,-1,nrc
abandonment,-1,nrc
abduction,-1,nrc
aberrant,-1,nrc
aberration,-1,nrc
abhor,-1,nrc
abhorrent,-1,nrc
abject,-1,nrc
abnormal,-1,nrc
abolish,-1,nrc
abolition,-1,nrc
abominable,-1,nrc
abomination,-1,nrc
abort,-1,nrc
abortion,-1,nrc
abortive,-1,nrc
abrasion,-1,nrc
abrogate,-1,nrc
abscess,-1,nrc
absence,-1,nrc
absent,-1,nrc
absentee,-1,nrc
absenteeism,-1,nrc
absurd,-1,nrc
absurdity,-1,nrc
abundance,-1,nrc
abuse,-1,nrc
abysmal,-1,nrc
abyss,-1,nrc
accident,-1,nrc
accidental,-1,nrc
accursed,-1,nrc
accusation,-1,nrc
accusative,-1,nrc
accused,-1,nrc
accuser,-1,nrc
accusing,-1,nrc
ache,-1,nrc
aching,-1,nrc
acid,-1,nrc
actionable,-1,nrc
adder,-1,nrc
addiction,-1,nrc
adipose,-1,nrc
adjudicate,-1,nrc
admonition,-1,nrc
adrift,-1,nrc
adulterated,-1,nrc
adultery,-1,nrc
adversary,-1,nrc
adverse,-1,nrc
adversity,-1,nrc
afflict,-1,nrc
afflicted,-1,nrc
affliction,-1,nrc
affront,-1,nrc
afraid,-1,nrc
aftermath,-1,nrc
aftertaste,-1,nrc
aggravated,-1,nrc
aggravating,-1,nrc
aggravation,-1,nrc
aggression,-1,nrc
aggressive,-1,nrc
aggressor,-1,nrc
aghast,-1,nrc
agitated,-1,nrc
agitation,-1,nrc
agonizing,-1,nrc
agony,-1,nrc
aground,-1,nrc
ail,-1,nrc
ailing,-1,nrc
aimless,-1,nrc
airs,-1,nrc
alarm,-1,nrc
alarming,-1,nrc
alcoholism,-1,nrc
alien,-1,nrc
alienate,-1,nrc
alienated,-1,nrc
alienation,-1,nrc
alimony,-1,nrc
allegation,-1,nrc
allege,-1,nrc
aloof,-1,nrc
altercation,-1,nrc
ambiguous,-1,nrc
ambush,-1,nrc
amnesia,-1,nrc
amphetamines,-1,nrc
anaconda,-1,nrc
anal,-1,nrc
anarchism,-1,nrc
anarchist,-1,nrc
anarchy,-1,nrc
anathema,-1,nrc
ancient,-1,nrc
anger,-1,nrc
angina,-1,nrc
angling,-1,nrc
angry,-1,nrc
anguish,-1,nrc
animosity,-1,nrc
animus,-1,nrc
annihilate,-1,nrc
annihilated,-1,nrc
annihilation,-1,nrc
annoy,-1,nrc
annoyance,-1,nrc
annoying,-1,nrc
annul,-1,nrc
annulment,-1,nrc
anomaly,-1,nrc
anonymous,-1,nrc
antagonism,-1,nrc
antagonist,-1,nrc
antagonistic,-1,nrc
anthrax,-1,nrc
antichrist,-1,nrc
antipathy,-1,nrc
antiquated,-1,nrc
antisocial,-1,nrc
antithesis,-1,nrc
anxiety,-1,nrc
anxious,-1,nrc
apache,-1,nrc
apathetic,-1,nrc
apathy,-1,nrc
aphid,-1,nrc
appalling,-1,nrc
appendicitis,-1,nrc
apprehension,-1,nrc
apprehensive,-1,nrc
appropriation,-1,nrc
archaic,-1,nrc
arduous,-1,nrc
argue,-1,nrc
argument,-1,nrc
argumentative,-1,nrc
arid,-1,nrc
armaments,-1,nrc
armed,-1,nrc
arraignment,-1,nrc
arrears,-1,nrc
arrest,-1,nrc
arrogance,-1,nrc
arrogant,-1,nrc
arsenic,-1,nrc
arson,-1,nrc
artillery,-1,nrc
ash,-1,nrc
ashamed,-1,nrc
ashes,-1,nrc
ass,-1,nrc
assail,-1,nrc
assailant,-1,nrc
assassin,-1,nrc
assassinate,-1,nrc
assassination,-1,nrc
assault,-1,nrc
asshole,-1,nrc
astray,-1,nrc
astringent,-1,nrc
asylum,-1,nrc
atheism,-1,nrc
atherosclerosis,-1,nrc
atrocious,-1,nrc
atrocity,-1,nrc
atrophy,-1,nrc
attack,-1,nrc
attacking,-1,nrc
attenuated,-1,nrc
attenuation,-1,nrc
audacity,-1,nrc
austere,-1,nrc
austerity,-1,nrc
autocratic,-1,nrc
autopsy,-1,nrc
avalanche,-1,nrc
avarice,-1,nrc
avenger,-1,nrc
averse,-1,nrc
aversion,-1,nrc
avoid,-1,nrc
avoidance,-1,nrc
awful,-1,nrc
awkwardness,-1,nrc
awry,-1,nrc
babble,-1,nrc
babbling,-1,nrc
baboon,-1,nrc
backward,-1,nrc
backwards,-1,nrc
backwater,-1,nrc
bacteria,-1,nrc
bacterium,-1,nrc
bad,-1,nrc
badger,-1,nrc
badly,-1,nrc
badness,-1,nrc
bailiff,-1,nrc
bait,-1,nrc
bale,-1,nrc
balk,-1,nrc
balm,-1,nrc
ban,-1,nrc
bandit,-1,nrc
bane,-1,nrc
bang,-1,nrc
banger,-1,nrc
banish,-1,nrc
banished,-1,nrc
banishment,-1,nrc
bankrupt,-1,nrc
bankruptcy,-1,nrc
banshee,-1,nrc
barb,-1,nrc
barbarian,-1,nrc
barbaric,-1,nrc
barbarism,-1,nrc
bark,-1,nrc
barred,-1,nrc
barren,-1,nrc
barricade,-1,nrc
barrier,-1,nrc
baseless,-1,nrc
bastard,-1,nrc
batter,-1,nrc
battered,-1,nrc
battery,-1,nrc
battle,-1,nrc
battled,-1,nrc
battlefield,-1,nrc
bawdy,-1,nrc
bayonet,-1,nrc
bearer,-1,nrc
beast,-1,nrc
beastly,-1,nrc
beating,-1,nrc
befall,-1,nrc
beg,-1,nrc
beggar,-1,nrc
begging,-1,nrc
behemoth,-1,nrc
beholden,-1,nrc
belated,-1,nrc
belittle,-1,nrc
belligerent,-1,nrc
belt,-1,nrc
bender,-1,nrc
bereaved,-1,nrc
bereavement,-1,nrc
bereft,-1,nrc
berserk,-1,nrc
bestial,-1,nrc
betray,-1,nrc
betrayal,-1,nrc
beware,-1,nrc
bewildered,-1,nrc
bias,-1,nrc
biased,-1,nrc
bickering,-1,nrc
bier,-1,nrc
bigot,-1,nrc
bigoted,-1,nrc
bile,-1,nrc
biopsy,-1,nrc
birch,-1,nrc
birthplace,-1,nrc
bitch,-1,nrc
bite,-1,nrc
bitterly,-1,nrc
bitterness,-1,nrc
bizarre,-1,nrc
black,-1,nrc
blackjack,-1,nrc
blackmail,-1,nrc
blackness,-1,nrc
blame,-1,nrc
bland,-1,nrc
blasphemous,-1,nrc
blasphemy,-1,nrc
blast,-1,nrc
blatant,-1,nrc
blather,-1,nrc
blaze,-1,nrc
bleak,-1,nrc
bleeding,-1,nrc
blemish,-1,nrc
blight,-1,nrc
blighted,-1,nrc
blind,-1,nrc
blinded,-1,nrc
blindly,-1,nrc
blindness,-1,nrc
blister,-1,nrc
bloated,-1,nrc
blob,-1,nrc
blockade,-1,nrc
bloodshed,-1,nrc
bloodthirsty,-1,nrc
bloody,-1,nrc
blot,-1,nrc
blower,-1,nrc
blowout,-1,nrc
blues,-1,nrc
bluff,-1,nrc
blunder,-1,nrc
blur,-1,nrc
blurred,-1,nrc
blush,-1,nrc
boast,-1,nrc
boasting,-1,nrc
bog,-1,nrc
bogus,-1,nrc
boil,-1,nrc
boilerplate,-1,nrc
boisterous,-1,nrc
bomb,-1,nrc
bombard,-1,nrc
bombardment,-1,nrc
bombed,-1,nrc
bondage,-1,nrc
bonds,-1,nrc
boo,-1,nrc
booby,-1,nrc
